Food,Categlory,ID,Carbs,Calories,Protien,Fat,Measure
BUTTER,"BUTTER,WITH SALT",1001,0.06,717,0.85,81.11,1 cup
BUTTER,"BUTTER,WHIPPED,WITH SALT",1002,0.06,717,0.85,81.11,1 cup
BUTTER OIL,"BUTTER OIL,ANHYDROUS",1003,0,876,0.28,99.48,1 cup
CHEESE,"CHEESE,BLUE",1004,2.34,353,21.4,28.74,1 oz
CHEESE,"CHEESE,BRICK",1005,2.79,371,23.24,29.68,"1 cup, diced"
CHEESE,"CHEESE,BRIE",1006,0.45,334,20.75,27.68,"1 cup, melted"
CHEESE,"CHEESE,CAMEMBERT",1007,0.46,300,19.8,24.26,1 cup
CHEESE,"CHEESE,CARAWAY",1008,3.06,376,25.18,29.2,1 oz
CHEESE,"CHEESE,CHEDDAR",1009,1.28,403,24.9,33.14,"1 cup, diced"
CHEESE,"CHEESE,CHESHIRE",1010,4.78,387,23.37,30.6,1 oz
CHEESE,"CHEESE,COLBY",1011,2.57,394,23.76,32.11,"1 cup, diced"
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1012,3.38,98,11.12,4.3,4 oz
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",1013,4.61,97,10.69,3.85,"1 cup,  (not packed)"
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1014,6.66,72,10.34,0.29,"1 cup,  (not packed)"
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",1015,3.66,86,11.83,2.45,"1 cup,  (not packed)"
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",1016,2.72,72,12.39,1.02,"1 cup,  (not packed)"
CHEESE,"CHEESE,CREAM",1017,4.07,342,5.93,34.24,1 cup
CHEESE,"CHEESE,EDAM",1018,1.43,357,24.99,27.8,1 oz
CHEESE,"CHEESE,FETA",1019,4.09,264,14.21,21.28,"1 cup, crumbled"
CHEESE,"CHEESE,FONTINA",1020,1.55,389,25.6,31.14,"1 cup, diced"
CHEESE,"CHEESE,GJETOST",1021,42.65,466,9.65,29.51,1 oz
CHEESE,"CHEESE,GOUDA",1022,2.22,356,24.94,27.44,1 oz
CHEESE,"CHEESE,GRUYERE",1023,0.36,413,29.81,32.34,"1 cup, diced"
CHEESE,"CHEESE,LIMBURGER",1024,0.49,327,20.05,27.25,1 cup
CHEESE,"CHEESE,MONTEREY",1025,0.68,373,24.48,30.28,"1 cup, diced"
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",1026,2.19,300,22.17,22.35,"1 cup, shredded"
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",1027,2.47,318,21.6,24.64,1 oz
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",1028,2.77,254,24.26,15.92,1 oz
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",1029,3.83,302,25.96,20.03,"1 cup, diced"
CHEESE,"CHEESE,MUENSTER",1030,1.12,368,23.41,30.04,"1 cup, diced"
CHEESE,"CHEESE,NEUFCHATEL",1031,3.59,253,9.15,22.78,1 oz
CHEESE,"CHEESE,PARMESAN,GRATED",1032,4.06,431,38.46,28.61,1 cup
CHEESE,"CHEESE,PARMESAN,HARD",1033,3.22,392,35.75,25.83,1 oz
CHEESE,"CHEESE,PORT DE SALUT",1034,0.57,352,23.78,28.2,"1 cup, diced"
CHEESE,"CHEESE,PROVOLONE",1035,2.14,351,25.58,26.62,"1 cup, diced"
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",1036,3.04,174,11.26,12.98,1 cup
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",1037,5.14,138,11.39,7.91,1 cup
CHEESE,"CHEESE,ROMANO",1038,3.63,387,31.8,26.94,1 oz
CHEESE,"CHEESE,ROQUEFORT",1039,2,369,21.54,30.64,1 oz
CHEESE,"CHEESE,SWISS",1040,5.38,380,26.93,27.8,"1 cup, diced"
CHEESE,"CHEESE,TILSIT",1041,1.88,340,24.41,25.98,1 oz
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1042,1.6,375,22.15,31.25,"1 cup, diced"
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",1043,1.73,375,22.13,31.2,"1 cup, diced"
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",1044,2.1,334,24.73,25.01,"1 cup, diced"
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",1045,8.32,331,19.66,24.46,1 oz
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",1046,7.83,330,18.4,25.18,1 cup
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",1047,4.5,323,21.92,24.14,1 oz
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",1048,8.73,290,16.41,21.23,"1 cup, diced"
CREAM,"CREAM,FLUID,HALF AND HALF",1049,4.3,130,2.96,11.5,1 cup
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",1050,3.66,195,2.7,19.31,1 cup
CREAM,"CREAM,FLUID,LT WHIPPING",1052,2.96,292,2.17,30.91,"1 cup,  whipped"
CREAM,"CREAM,FLUID,HVY WHIPPING",1053,2.79,345,2.05,37,"1 cup,  whipped"
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",1054,12.49,257,3.2,22.22,1 cup
CREAM,"CREAM,SOUR,RED FAT,CULTURED",1055,4.26,135,2.94,12,1 cup
CREAM,"CREAM,SOUR,CULTURED",1056,2.88,193,2.07,19.73,1 cup
No Category,EGGNOG,1057,13.54,135,3.81,7.48,1 cup
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",1058,4.68,178,3.25,16.57,1 cup
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",1059,4.74,63,3.33,3.46,1 cup
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",1060,4.74,63,3.33,3.4,1 cup
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",1067,11.38,136,1,9.97,1 cup
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",1068,11.38,136,1,9.97,"1 container,  individual"
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",1069,54.88,545,4.79,35.48,1 cup
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",1070,52.54,577,4.9,39.92,1.5 oz
